product_name,product_category_tree,description,description_token
"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",Watches,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys
                         Price: Rs. 699
				
			CALIBRO presents MTG Black Dial Round Watch. This is a fashionable watch from MTG that adds to your style statement. This brand is known for its usage of quality material in making appealing watches. It understands the needs of youth so well that it is able to present wide range of watches to its customers. The variety in design, style and youthful approach is very well executed by this brand. Get one and see how brilliantly it leads other brands in style, finish and everything else that matters.
CALIBRO presents MTG Black Dial Round Watch. This is a fashionable watch from MTG that adds to your style statement. This brand is known for its usage of quality material in making appealing watches. It understands the needs of youth so well that it is able to present wide range of watches to its customers. The variety in design, style and youthful approach is very well executed by this brand. Get one and see how brilliantly it leads other brands in style, finish and everything else that matters.","['calibro', 'sw', '125', 'analog', 'digital', 'watch', 'men', 'boy', 'price', 'r', '699', 'calibro', 'present', 'mtg', 'black', 'dial', 'round', 'watch', 'fashionable', 'watch', 'mtg', 'add', 'style', 'statement', 'brand', 'know', 'usage', 'quality', 'material', 'make', 'appeal', 'watch', 'understands', 'need', 'youth', 'well', 'able', 'present', 'wide', 'range', 'watch', 'customer', 'variety', 'design', 'style', 'youthful', 'approach', 'well', 'execute', 'brand', 'get', 'one', 'see', 'brilliantly', 'lead', 'brand', 'style', 'finish', 'everything', 'else', 'matter', 'calibro', 'present', 'mtg', 'black', 'dial', 'round', 'watch', 'fashionable', 'watch', 'mtg', 'add', 'style', 'statement', 'brand', 'know', 'usage', 'quality', 'material', 'make', 'appeal', 'watch', 'understands', 'need', 'youth', 'well', 'able', 'present', 'wide', 'range', 'watch', 'customer', 'variety', 'design', 'style', 'youthful', 'approach', 'well', 'execute', 'brand', 'get', 'one', 'see', 'brilliantly', 'lead', 'brand', 'style', 'finish', 'everything', 'else', 'matter']"
"Cartier W6701005 Analog Watch  - For Boys, Men",Watches,"Cartier W6701005 Analog Watch  - For Boys, Men - Buy Cartier W6701005 Analog Watch  - For Boys, Men  W6701005 Online at Rs.201000 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['cartier', 'w6701005', 'analog', 'watch', 'boy', 'men', 'buy', 'cartier', 'w6701005', 'analog', 'watch', 'boy', 'men', 'w6701005', 'online', 'r', '201000', 'india', 'flipkart', 'com', 'great', 'discount', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']"
"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",Watches,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men - Buy Lois Caron LCS-4032 Analog Watch  - For Boys, Men  LCS-4032 Online at Rs.399 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['lois', 'caron', 'lcs', '4032', 'analog', 'watch', 'boy', 'men', 'buy', 'lois', 'caron', 'lcs', '4032', 'analog', 'watch', 'boy', 'men', 'lcs', '4032', 'online', 'r', '399', 'india', 'flipkart', 'com', 'great', 'discount', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']"
"Titan 1639SL03 Analog Watch  - For Boys, Men",Watches,"Titan 1639SL03 Analog Watch  - For Boys, Men - Buy Titan 1639SL03 Analog Watch  - For Boys, Men  1639SL03 Online at Rs.1695 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['titan', '1639sl03', 'analog', 'watch', 'boy', 'men', 'buy', 'titan', '1639sl03', 'analog', 'watch', 'boy', 'men', '1639sl03', 'online', 'r', '1695', 'india', 'flipkart', 'com', 'great', 'discount', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']"
"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",Watches,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls - Buy Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls  Megnet_Led_Sport_BlackRed1 Online at Rs.200 in India Only at Flipkart.com. Led Watch, Sports Led, Megnet watch, Fresh arrival, latest, fancy, Srushti, GirlsWatch, Men, Women, Boys, Wrist Watches - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['srushti', 'art', 'jewelry', 'megnet_led_sport_blackred1', 'digital', 'watch', 'men', 'woman', 'boy', 'girl', 'buy', 'srushti', 'art', 'jewelry', 'megnet_led_sport_blackred1', 'digital', 'watch', 'men', 'woman', 'boy', 'girl', 'megnet_led_sport_blackred1', 'online', 'r', '200', 'india', 'flipkart', 'com', 'lead', 'watch', 'sport', 'lead', 'megnet', 'watch', 'fresh', 'arrival', 'late', 'fancy', 'srushti', 'girlswatch', 'men', 'woman', 'boy', 'wrist', 'watch', 'great', 'discount', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']"
"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",Watches,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys
                         Price: Rs. 1,829
				
			If you have it, flaunt it! If this is your mantra then hit the streets in style wearing this black coloured analog watch for men from the house of Escort. The casing adds more appeal to this timepiece that can be worn on a rainy day, all thanks to its water resistance upto 10 atm.
If you have it, flaunt it! If this is your mantra then hit the streets in style wearing this black coloured analog watch for men from the house of Escort. The casing adds more appeal to this timepiece that can be worn on a rainy day, all thanks to its water resistance upto 10 atm.","['escort', 'e', '1700', '906_blk', 'analog', 'watch', 'men', 'boy', 'price', 'r', '1', '829', 'flaunt', 'mantra', 'hit', 'street', 'style', 'wear', 'black', 'colour', 'analog', 'watch', 'men', 'house', 'escort', 'case', 'add', 'appeal', 'timepiece', 'worn', 'rainy', 'day', 'thanks', 'water', 'resistance', 'upto', '10', 'atm', 'flaunt', 'mantra', 'hit', 'street', 'style', 'wear', 'black', 'colour', 'analog', 'watch', 'men', 'house', 'escort', 'case', 'add', 'appeal', 'timepiece', 'worn', 'rainy', 'day', 'thanks', 'water', 'resistance', 'upto', '10', 'atm']"
Jack klein BlackLed Digital Watch  - For Boys,Watches,"Jack klein BlackLed Digital Watch  - For Boys - Buy Jack klein BlackLed Digital Watch  - For Boys  BlackLed Online at Rs.150 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['jack', 'klein', 'blackled', 'digital', 'watch', 'boy', 'buy', 'jack', 'klein', 'blackled', 'digital', 'watch', 'boy', 'blackled', 'online', 'r', '150', 'india', 'flipkart', 'com', 'great', 'discount', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']"
"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",Watches,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women - Buy North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women  IW-005-FK Online at Rs.150 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['north', 'moon', 'iw', '005', 'fk', 'silicone', 'ion', 'digital', 'watch', 'boy', 'girl', 'woman', 'buy', 'north', 'moon', 'iw', '005', 'fk', 'silicone', 'ion', 'digital', 'watch', 'boy', 'girl', 'woman', 'iw', '005', 'fk', 'online', 'r', '150', 'india', 'flipkart', 'com', 'great', 'discount', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']"
"Franck Bella FB74C Analog Watch  - For Boys, Men",Watches,"Franck Bella FB74C Analog Watch  - For Boys, Men - Buy Franck Bella FB74C Analog Watch  - For Boys, Men  FB74C Online at Rs.780 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['franck', 'bella', 'fb74c', 'analog', 'watch', 'boy', 'men', 'buy', 'franck', 'bella', 'fb74c', 'analog', 'watch', 'boy', 'men', 'fb74c', 'online', 'r', '780', 'india', 'flipkart', 'com', 'great', 'discount', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']"
Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,Watches,"Ridas Apl_led_black Apple Shape Digital Watch  - For Boys - Buy Ridas Apl_led_black Apple Shape Digital Watch  - For Boys  Apl_led_black Online at Rs.249 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['ridas', 'apl_led_black', 'apple', 'shape', 'digital', 'watch', 'boy', 'buy', 'ridas', 'apl_led_black', 'apple', 'shape', 'digital', 'watch', 'boy', 'apl_led_black', 'online', 'r', '249', 'india', 'flipkart', 'com', 'great', 'discount', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']"
"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",Watches,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys - Buy Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys  AD1057-Dark-Orange Online at Rs.1199 in India Only at Flipkart.com. Digital Chronograph, Alarm Watch, Light Function, Date & Month Display - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['skmei', 'ad1057', 'dark', 'orange', 'sport', 'analog', 'digital', 'watch', 'men', 'boy', 'buy', 'skmei', 'ad1057', 'dark', 'orange', 'sport', 'analog', 'digital', 'watch', 'men', 'boy', 'ad1057', 'dark', 'orange', 'online', 'r', '1199', 'india', 'flipkart', 'com', 'digital', 'chronograph', 'alarm', 'watch', 'light', 'function', 'date', 'month', 'display', 'great', 'discount', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']"
Now SP-ETHNIC Analog Watch  - For Boys,Watches,"Now SP-ETHNIC Analog Watch  - For Boys - Buy Now SP-ETHNIC Analog Watch  - For Boys  SP-ETHNIC Online at Rs.600 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['sp', 'ethnic', 'analog', 'watch', 'boy', 'buy', 'sp', 'ethnic', 'analog', 'watch', 'boy', 'sp', 'ethnic', 'online', 'r', '600', 'india', 'flipkart', 'com', 'great', 'discount', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']"
